Container, 0, 0, 0, 0.011732, 0.011732, 0
Link, 0, MPI_LINK, 0.001400, 0.002826, 0.001426, PTP, rank-4, rank-5, 4_5_-3334_3
Link, 0, MPI_LINK, 0.001400, 0.003626, 0.002226, PTP, rank-4, rank-6, 4_6_-3334_2
Link, 0, MPI_LINK, 0.002826, 0.004252, 0.001426, PTP, rank-5, rank-6, 5_6_-3334_6
Link, 0, MPI_LINK, 0.003626, 0.004252, 0.000626, PTP, rank-6, rank-0, 6_0_-3334_7
Link, 0, MPI_LINK, 0.002826, 0.004878, 0.002052, PTP, rank-5, rank-0, 5_0_-3334_5
Link, 0, MPI_LINK, 0.001400, 0.005026, 0.003626, PTP, rank-4, rank-1, 4_1_-3334_1
Link, 0, MPI_LINK, 0.004252, 0.005504, 0.001252, PTP, rank-6, rank-0, 6_0_-3334_10
Link, 0, MPI_LINK, 0.004878, 0.005870, 0.000992, PTP, rank-0, rank-1, 0_1_-3334_11
Link, 0, MPI_LINK, 0.005026, 0.005870, 0.000844, PTP, rank-1, rank-2, 1_2_-3334_13
Link, 0, MPI_LINK, 0.005026, 0.005870, 0.000844, PTP, rank-1, rank-3, 1_3_-3334_12
Link, 0, MPI_LINK, 0.004252, 0.006496, 0.002244, PTP, rank-6, rank-1, 6_1_-3334_9
Link, 0, MPI_LINK, 0.002826, 0.006496, 0.003670, PTP, rank-5, rank-2, 5_2_-3334_4
Link, 0, MPI_LINK, 0.005504, 0.007122, 0.001618, PTP, rank-0, rank-1, 0_1_-3334_16
Link, 0, MPI_LINK, 0.006496, 0.007339, 0.000843, PTP, rank-1, rank-2, 1_2_-3334_17
Link, 0, MPI_LINK, 0.006496, 0.007339, 0.000843, PTP, rank-2, rank-3, 2_3_-3334_19
Link, 0, MPI_LINK, 0.006496, 0.007339, 0.000843, PTP, rank-2, rank-4, 2_4_-3334_18
Link, 0, MPI_LINK, 0.005504, 0.007965, 0.002461, PTP, rank-0, rank-2, 0_2_-3334_15
Link, 0, MPI_LINK, 0.004252, 0.007965, 0.003713, PTP, rank-6, rank-3, 6_3_-3334_8
Link, 0, MPI_LINK, 0.007122, 0.008591, 0.001469, PTP, rank-1, rank-2, 1_2_-3334_22
Link, 0, MPI_LINK, 0.007965, 0.008809, 0.000844, PTP, rank-2, rank-3, 2_3_-3334_23
Link, 0, MPI_LINK, 0.007965, 0.008809, 0.000844, PTP, rank-3, rank-4, 3_4_-3334_25
Link, 0, MPI_LINK, 0.007965, 0.008809, 0.000844, PTP, rank-3, rank-5, 3_5_-3334_24
Link, 0, MPI_LINK, 0.007122, 0.009435, 0.002313, PTP, rank-1, rank-3, 1_3_-3334_21
Link, 0, MPI_LINK, 0.005504, 0.009435, 0.003931, PTP, rank-0, rank-4, 0_4_-3334_14
Link, 0, MPI_LINK, 0.009435, 0.010279, 0.000844, PTP, rank-3, rank-4, 3_4_-3334_26
Link, 0, MPI_LINK, 0.009435, 0.010279, 0.000844, PTP, rank-4, rank-5, 4_5_-3334_28
Link, 0, MPI_LINK, 0.009435, 0.010279, 0.000844, PTP, rank-4, rank-6, 4_6_-3334_27
Link, 0, MPI_LINK, 0.007122, 0.010905, 0.003783, PTP, rank-1, rank-5, 1_5_-3334_20
Link, 0, MPI_LINK, 0.010905, 0.011732, 0.000827, PTP, rank-5, rank-6, 5_6_-3334_30
Link, 0, MPI_LINK, 0.010905, 0.011732, 0.000827, PTP, rank-5, rank-0, 5_0_-3334_29
Container, 0, MPI, 0, 0.011732, 0.011732, rank-6
State, rank-6, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-6, MPI_STATE, 0.003000, 0.003626, 0.000626, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.003626, 0.004252, 0.000626, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.004252, 0.004252, 0.000000, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.004252, 0.010279, 0.006027, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.010279, 0.011732, 0.001453, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.011732, 0.011732, 0.000000, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.011732, 0.011732, rank-5
State, rank-5, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-5, MPI_STATE, 0.002200, 0.002826, 0.000626, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.002826, 0.002826, 0.000000, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.002826, 0.008809, 0.005983, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.008809, 0.010279, 0.001470, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.010279, 0.010905, 0.000626, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.010905, 0.011732, 0.000827, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.011732, 0.011732, rank-4
State, rank-4, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-4, MPI_STATE, 0.001400, 0.001400, 0.000000, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.001400, 0.007339, 0.005939, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.007339, 0.008809, 0.001470, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.008809, 0.009435, 0.000626, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.009435, 0.010279, 0.000844, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.010279, 0.011732, 0.001453, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.011732, 0.011732, rank-3
State, rank-3, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-3, MPI_STATE, 0.000000, 0.005870, 0.005870, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.005870, 0.007339, 0.001469, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.007339, 0.007965, 0.000626, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.007965, 0.008809, 0.000844, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.008809, 0.009435, 0.000626, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.009435, 0.011732, 0.002297, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.011732, 0.011732, rank-2
State, rank-2, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-2, MPI_STATE, 0.004400, 0.005870, 0.001470, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.005870, 0.006496, 0.000626, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.006496, 0.007339, 0.000843, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.007339, 0.007965, 0.000626, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.007965, 0.008591, 0.000626, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.008591, 0.011732, 0.003141, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.011732, 0.011732, rank-1
State, rank-1, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-1, MPI_STATE, 0.004400, 0.005026, 0.000626, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.005026, 0.005870, 0.000844, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.005870, 0.006496, 0.000626, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.006496, 0.007122, 0.000626, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.007122, 0.007122, 0.000000, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.007122, 0.011732, 0.004610, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.011732, 0.011732, rank-0
State, rank-0, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-0, MPI_STATE, 0.003600, 0.004252, 0.000652, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.004252, 0.004878, 0.000626, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.004878, 0.005504, 0.000626, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.005504, 0.005504, 0.000000, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.005504, 0.011732, 0.006228, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.011732, 0.011732, 0.000000, 0.000000, PMPI_Finalize
